Day,Price
0,45.0
1,44.69
2,45.18
3,44.44
4,45.12
5,45.15
6,44.79
7,44.83
8,44.98
9,45.42
10,45.83
11,44.96
12,44.68
13,45.13
14,49.59
15,50.06
16,49.68
17,49.05
18,49.62
19,49.84
20,50.13
21,51.23
22,52.2
23,51.57
24,51.81
25,51.12
26,52.78
27,51.87
28,52.11
29,51.39
30,52.06
31,51.35
32,52.36
33,51.88
34,51.72
35,53.79
36,53.76
37,53.83
38,54.22
39,54.34
40,54.85
41,54.18
42,54.05
43,54.27
44,54.31
45,54.13
46,54.79
47,54.34
48,54.49
49,54.68
50,53.96
51,54.77
52,54.53
53,55.0
54,55.39
55,53.66
56,52.87
57,52.04
58,53.4
59,52.45
60,52.82
61,52.31
62,51.79
63,49.52
64,49.92
65,49.79
66,50.05
67,50.48
68,49.84
69,50.02
70,47.83
71,47.31
72,47.39
73,47.72
74,47.13
75,47.69
76,47.39
77,47.78
78,47.43
79,47.0
80,47.48
81,47.38
82,46.81
83,47.31
84,45.42
85,44.85
86,45.36
87,44.5
88,44.75
89,44.87
90,45.26
91,44.8
92,45.3
93,44.22
94,45.45
95,45.5
96,44.58
97,44.62
98,44.58
99,45.33
100,44.98
101,44.3
102,44.95
103,44.66
104,44.65
105,47.87
106,47.57
107,47.24
108,47.64
109,47.6
110,46.79
111,47.38
112,50.06
113,49.54
114,49.16
115,49.74
116,49.08
117,50.04
118,49.44
119,46.99
120,46.43
121,47.64
122,46.77
123,47.49
124,47.7
125,47.06
126,45.02
127,45.15
128,44.06
129,45.39
130,45.31
131,45.74
132,45.11
133,43.14
134,42.86
135,43.41
136,43.03
137,42.37
138,42.75
139,42.92
140,43.06
141,42.94
142,43.44
143,42.39
144,42.26
145,42.55
146,43.36
147,44.7
148,45.72
149,45.28
150,45.31
151,44.98
152,44.94
153,44.72
154,41.02
155,40.8
156,40.59
157,40.35
158,40.69
159,40.97
160,39.78
161,40.26
162,39.99
163,40.34
164,40.19
165,40.43
166,40.31
167,40.08
168,43.1
169,42.5
170,42.18
171,41.61
172,43.14
173,42.81
174,43.12
175,44.85
176,44.43
177,45.36
178,45.53
179,45.35
180,45.72
181,44.37
182,51.08
183,51.98
184,51.42
185,51.68
186,52.21
187,51.6
188,51.94
189,54.69
190,53.66
191,54.11
192,54.13
193,54.32
194,53.58
195,54.82
196,54.26
197,54.11
198,54.38
199,54.48
200,53.85
201,53.86
202,53.96
203,51.51
204,52.27
205,52.25
206,51.5
207,52.4
208,51.67
209,51.45
210,49.72
211,49.14
212,49.17
213,49.59
214,49.63
215,48.7
216,49.25
217,47.15
218,47.21
219,47.38
220,47.21
221,48.31
222,47.21
223,47.11
224,47.24
225,47.2
226,47.62
227,47.36
228,47.08
229,46.81
230,47.19
231,44.62
232,45.17
233,45.49
234,45.97
235,45.32
236,44.86
237,44.89
238,47.13
239,46.69
240,47.15
241,47.04
242,47.79
243,47.24
244,47.35
245,49.91
246,49.76
247,49.97
248,49.86
249,49.99
250,50.09
251,50.46
252,49.93
253,49.87
254,49.54
255,50.26
256,50.01
257,50.46
258,50.42
259,47.43
260,48.09
261,47.76
262,47.65
263,46.84
264,47.15
265,47.34
266,44.21
267,45.21
268,45.24
269,45.04
270,44.18
271,45.24
272,44.18
273,43.27
274,42.93
275,42.57
276,42.07
277,42.06
278,43.38
279,43.29
280,42.74
281,42.77
282,43.03
283,42.51
284,43.05
285,42.52
286,42.92
287,45.34
288,44.61
289,44.72
290,45.39
291,44.89
292,44.57
293,45.27
294,39.88
295,39.83
296,40.23
297,40.14
298,39.84
299,40.5
300,40.22
301,39.82
302,40.83
303,39.58
304,39.82
305,40.37
306,40.51
307,40.23
308,43.08
309,42.46
310,42.09
311,42.21
312,43.17
313,42.8
314,41.6
315,45.62
316,45.01
317,45.12
318,45.36
319,44.49
320,45.4
321,45.94
322,45.1
323,44.93
324,45.07
325,44.83
326,44.41
327,45.2
328,44.72
329,44.46
330,44.94
331,45.18
332,45.48
333,44.86
334,44.9
335,45.11
336,44.36
337,45.16
338,46.1
339,44.99
340,45.02
341,45.14
342,45.63
343,45.47
344,44.77
345,45.01
346,45.48
347,44.42
348,45.64
349,45.31
350,44.87
351,44.92
352,44.94
353,45.42
354,44.94
355,44.66
356,45.9
357,44.92
358,45.56
359,44.81
360,44.97
361,45.13
362,45.15
363,44.48
364,44.45
