Day,Price
0,121.75
1,120.75
2,119.5
3,120.08
4,119.0
5,119.68
6,119.0
7,120.59
8,119.38
9,118.46
10,117.03
11,117.32
12,116.17
13,115.09
14,114.43
15,114.88
16,114.22
17,115.0
18,115.19
19,115.34
20,113.68
21,113.67
22,113.47
23,114.06
24,115.33
25,115.23
26,116.19
27,116.97
28,117.65
29,117.79
30,116.83
31,118.07
32,117.53
33,118.23
34,119.15
35,118.87
36,119.95
37,121.24
38,122.34
39,122.32
40,123.03
41,123.59
42,122.79
43,123.38
44,122.27
45,120.83
46,120.46
47,119.2
48,118.03
49,118.18
50,119.83
51,119.52
52,119.9
53,118.65
54,118.05
55,118.67
56,116.56
57,114.74
58,113.66
59,113.29
60,113.26
61,113.27
62,112.46
63,111.23
64,111.53
65,111.34
66,112.38
67,112.19
68,113.86
69,115.04
70,116.05
71,116.97
72,117.03
73,117.23
74,117.7
75,117.27
76,116.05
77,116.82
78,116.16
79,118.37
80,120.75
81,120.27
82,120.76
83,121.36
84,121.74
85,122.38
86,122.03
87,121.61
88,122.84
89,122.76
90,121.98
91,121.72
92,121.63
93,123.23
94,123.72
95,124.09
96,122.96
97,122.87
98,123.49
99,123.29
100,123.28
101,124.61
102,123.51
103,123.37
104,123.84
105,124.38
106,125.02
107,124.02
108,123.24
109,124.06
110,122.39
111,121.32
112,122.0
113,122.77
114,120.98
115,120.38
116,120.58
117,119.65
118,118.37
119,117.04
120,116.89
121,118.1
122,117.6
123,118.09
124,118.43
125,118.67
126,118.83
127,119.32
128,120.1
129,119.86
130,121.5
131,121.46
132,121.81
133,122.33
134,121.64
135,120.32
136,119.73
137,119.96
138,119.15
139,119.62
140,119.39
141,118.95
142,120.36
143,121.98
144,122.91
145,121.67
146,122.04
147,122.38
148,122.02
149,122.24
150,123.04
151,124.35
152,124.54
153,125.26
154,125.21
155,127.29
156,125.94
157,126.66
158,128.03
159,128.19
160,126.71
161,126.58
162,126.17
163,127.38
164,126.82
165,127.64
166,129.76
167,130.27
168,129.85
169,129.41
170,128.93
171,130.19
172,130.79
173,130.71
174,130.12
175,130.31
176,130.2
177,130.46
178,131.06
179,130.73
180,129.3
181,128.1
182,129.31
183,128.86
184,129.31
185,130.07
186,128.41
187,127.32
188,128.37
189,128.05
190,125.87
191,126.34
192,126.61
193,126.75
194,126.34
195,126.3
196,127.11
197,125.62
198,127.19
199,127.43
200,126.26
201,126.08
202,126.09
203,125.24
204,127.72
205,126.92
206,125.78
207,126.08
208,125.67
209,126.65
210,126.76
211,128.7
212,129.02
213,130.6
214,130.69
215,130.45
216,131.0
217,131.34
218,132.38
219,133.12
220,133.8
221,134.15
222,134.72
223,133.46
224,133.68
225,135.03
226,135.88
227,136.26
228,136.31
229,136.97
230,136.04
231,134.68
232,134.43
233,135.77
234,134.32
235,134.0
236,132.84
237,133.37
238,133.48
239,131.93
240,132.38
241,133.25
242,131.49
243,130.81
244,130.13
245,128.93
246,126.99
247,126.74
248,127.5
249,126.93
250,126.17
251,125.36
252,126.05
253,126.58
254,125.56
255,125.87
256,127.18
257,126.35
258,127.12
259,127.51
260,127.39
261,127.09
262,127.09
263,128.09
264,128.34
265,127.75
266,127.17
267,126.68
268,127.38
269,126.89
270,126.99
271,126.24
272,127.12
273,127.22
274,128.89
275,130.01
276,129.62
277,129.67
278,129.22
279,128.26
280,129.15
281,129.24
282,129.79
283,129.67
284,130.47
285,130.47
286,130.52
287,130.31
288,130.93
289,131.17
290,130.23
291,130.29
292,129.74
293,129.92
294,130.15
295,130.1
296,130.76
297,131.11
298,131.04
299,131.15
300,131.91
301,132.39
302,132.73
303,132.88
304,133.28
305,133.14
306,132.41
307,132.84
308,133.53
309,133.15
310,134.45
311,134.6
312,135.53
313,134.39
314,135.4
315,135.03
316,135.36
317,135.53
318,134.21
319,133.4
320,132.25
321,133.64
322,133.09
323,133.69
324,133.35
325,133.19
326,133.04
327,132.44
328,132.93
329,134.06
330,133.81
331,133.13
332,134.6
333,134.2
334,134.32
335,133.9
336,133.59
337,133.44
338,133.29
339,132.29
340,132.54
341,132.11
342,132.22
343,130.33
344,128.47
345,128.5
346,127.41
347,126.3
348,124.92
349,124.6
350,124.74
351,125.41
352,125.5
353,124.41
354,122.69
355,123.6
356,123.19
357,123.5
358,125.04
359,126.23
360,126.59
361,127.23
362,126.64
363,126.56
364,127.05
