Day,Price
0,803.0
1,818.62
2,806.12
3,813.18
4,820.07
5,803.73
6,796.82
7,808.72
8,820.04
9,824.77
10,827.71
11,829.24
12,810.73
13,820.37
14,825.12
15,826.8
16,818.97
17,820.63
18,832.21
19,821.79
20,825.35
21,819.07
22,834.51
23,825.34
24,832.02
25,826.84
26,828.53
27,821.15
28,819.43
29,827.65
30,814.66
31,806.75
32,827.98
33,825.12
34,819.52
35,832.86
36,824.54
37,827.86
38,823.28
39,816.47
40,823.41
41,826.93
42,824.08
43,814.85
44,808.76
45,828.13
46,823.17
47,818.11
48,825.17
49,830.08
50,825.91
51,826.69
52,827.46
53,817.67
54,834.01
55,828.61
56,835.86
57,820.86
58,831.89
59,837.26
60,820.64
61,808.02
62,820.07
63,808.43
64,831.63
65,830.75
66,830.3
67,832.61
68,820.77
69,800.93
70,772.14
71,760.86
72,750.65
73,766.07
74,782.97
75,758.99
76,761.06
77,764.58
78,772.06
79,767.68
80,761.46
81,754.96
82,766.1
83,744.19
84,772.98
85,760.51
86,761.43
87,741.94
88,755.77
89,755.86
90,761.64
91,767.0
92,757.73
93,754.31
94,762.65
95,759.13
96,753.46
97,753.65
98,761.47
99,775.03
100,750.31
101,768.39
102,752.54
103,759.11
104,769.95
105,751.22
106,749.69
107,763.48
108,771.44
109,760.49
110,776.22
111,762.28
112,770.83
113,757.84
114,774.44
115,810.36
116,811.96
117,830.09
118,849.13
119,848.61
120,826.79
121,854.34
122,834.15
123,804.87
124,815.06
125,804.5
126,807.45
127,806.64
128,798.82
129,803.72
130,808.95
131,796.38
132,813.79
133,771.41
134,755.19
135,734.62
136,721.57
137,717.66
138,674.49
139,669.43
140,651.15
141,645.07
142,622.43
143,606.72
144,594.15
145,590.34
146,561.59
147,554.91
148,537.82
149,518.99
150,514.36
151,507.06
152,488.56
153,471.56
154,452.9
155,455.26
156,448.73
157,487.64
158,478.35
159,494.72
160,502.81
161,523.75
162,535.48
163,551.59
164,545.34
165,550.79
166,544.65
167,560.21
168,543.9
169,544.89
170,567.41
171,546.68
172,550.38
173,569.75
174,539.36
175,510.46
176,503.44
177,493.75
178,469.17
179,458.74
180,474.81
181,499.16
182,497.54
183,477.58
184,489.66
185,499.49
186,493.83
187,483.79
188,496.54
189,494.68
190,497.76
191,482.37
192,492.65
193,489.3
194,503.83
195,491.11
196,486.06
197,478.06
198,500.23
199,492.31
200,511.94
201,533.76
202,517.07
203,547.37
204,561.26
205,544.32
206,559.39
207,542.85
208,550.76
209,555.79
210,550.29
211,541.56
212,537.92
213,550.93
214,544.47
215,553.55
216,550.84
217,555.98
218,542.46
219,548.93
220,551.98
221,533.21
222,551.7
223,544.15
224,537.78
225,536.07
226,553.27
227,547.19
228,547.27
229,544.05
230,544.89
231,509.95
232,502.44
233,489.95
234,488.25
235,474.96
236,506.22
237,500.93
238,513.38
239,518.9
240,507.84
241,497.92
242,482.21
243,454.45
244,451.18
245,462.1
246,463.77
247,438.17
248,441.27
249,462.82
250,449.31
251,455.74
252,460.72
253,445.54
254,454.4
255,447.6
256,455.1
257,453.86
258,456.98
259,449.45
260,443.8
261,462.84
262,454.35
263,462.68
264,451.16
265,458.2
266,459.55
267,456.95
268,451.68
269,464.0
270,453.64
271,443.99
272,462.18
273,443.82
274,458.8
275,467.34
276,458.91
277,460.34
278,444.62
279,466.05
280,435.46
281,436.99
282,442.79
283,462.14
284,446.32
285,458.51
286,465.93
287,445.33
288,466.46
289,463.94
290,456.12
291,466.6
292,458.86
293,439.86
294,449.66
295,456.38
296,460.37
297,445.14
298,449.03
299,456.91
300,433.06
301,444.3
302,455.57
303,459.76
304,457.64
305,453.28
306,457.73
307,451.84
308,455.3
309,444.79
310,443.59
311,459.86
312,464.19
313,463.44
314,468.7
315,470.84
316,464.37
317,449.82
318,438.62
319,439.46
320,429.66
321,423.52
322,430.19
323,432.37
324,440.59
325,413.9
326,409.08
327,435.87
328,420.58
329,414.93
330,425.14
331,441.66
332,428.48
333,416.89
334,430.87
335,439.35
336,434.7
337,430.89
338,426.24
339,416.05
340,428.05
341,431.43
342,436.04
343,461.48
344,464.87
345,478.17
346,489.76
347,502.42
348,499.52
349,492.46
350,505.67
351,498.81
352,501.41
353,503.33
354,503.62
355,488.41
356,489.05
357,500.58
358,502.0
359,497.82
360,508.75
361,525.7
362,535.01
363,526.45
364,522.15
