Day,Price
0,100000
1,95000
2,90000
3,85000
4,80000
5,75000
6,83000
7,91000
8,86000
9,81000
10,89000
11,97000
12,92000
13,100000
14,108000
15,116000
16,111000
17,106000
18,101000
19,96000
20,104000
21,99000
22,94000
23,102000
24,97000
25,105000
26,113000
27,121000
28,116000
29,111000
30,106000
31,101000
32,109000
33,104000
34,99000
35,94000
36,89000
37,97000
38,92000
39,100000
40,95000
41,103000
42,111000
43,106000
44,114000
45,109000
46,104000
47,99000
48,94000
49,89000
50,84000
51,92000
52,100000
53,95000
54,103000
55,111000
56,119000
57,127000
58,135000
59,130000
60,125000
61,120000
62,115000
63,110000
64,105000
65,100000
66,95000
67,103000
68,111000
69,119000
70,114000
71,122000
72,130000
73,138000
74,133000
75,128000
76,123000
77,118000
78,126000
79,134000
80,142000
81,137000
82,145000
83,140000
84,148000
85,156000
86,164000
87,159000
88,154000
89,162000
90,157000
91,165000
92,160000
93,155000
94,150000
95,145000
96,140000
97,135000
98,130000
99,125000
100,120000
101,128000
102,123000
103,131000
104,126000
105,121000
106,129000
107,137000
108,145000
109,140000
110,148000
111,143000
112,151000
113,146000
114,141000
115,149000
116,144000
117,152000
118,147000
119,142000
120,137000
121,145000
122,140000
123,148000
124,143000
125,138000
126,133000
127,128000
128,136000
129,144000
130,152000
131,160000
132,155000
133,163000
134,158000
135,153000
136,148000
137,143000
138,151000
139,159000
140,154000
141,149000
142,157000
143,152000
144,160000
145,168000
146,163000
147,171000
148,179000
149,174000
150,169000
151,164000
152,159000
153,154000
154,149000
155,144000
156,152000
157,160000
158,168000
159,176000
160,171000
161,179000
162,187000
163,182000
164,190000
165,198000
166,193000
167,188000
168,183000
169,178000
170,186000
171,194000
172,189000
173,184000
174,192000
175,200000
176,195000
177,190000
178,198000
179,193000
180,188000
181,183000
182,178000
183,173000
184,181000
185,176000
186,171000
187,179000
188,174000
189,169000
190,164000
191,159000
192,167000
193,162000
194,157000
195,152000
196,147000
197,142000
198,150000
199,145000
200,140000
201,148000
202,156000
203,151000
204,146000
205,154000
206,149000
207,157000
208,165000
209,160000
210,155000
211,150000
212,158000
213,166000
214,174000
215,169000
216,164000
217,159000
218,154000
219,149000
220,157000
221,165000
222,160000
223,155000
224,163000
225,158000
226,166000
227,161000
228,156000
229,164000
230,172000
231,180000
232,188000
233,183000
234,178000
235,186000
236,181000
237,176000
238,184000
239,179000
240,174000
241,182000
242,177000
243,172000
244,180000
245,175000
246,170000
247,178000
248,186000
249,181000
250,176000
251,171000
252,166000
253,174000
254,169000
255,164000
256,159000
257,154000
258,149000
259,144000
260,139000
261,134000
262,129000
263,137000
264,145000
265,140000
266,135000
267,143000
268,138000
269,133000
270,128000
271,123000
272,118000
273,113000
274,108000
275,103000
276,111000
277,119000
278,114000
279,109000
280,117000
281,112000
282,120000
283,115000
284,110000
285,118000
286,113000
287,121000
288,116000
289,111000
290,106000
291,101000
292,109000
293,117000
294,125000
295,133000
296,141000
297,149000
298,157000
299,152000
300,160000
301,168000
302,163000
303,158000
304,166000
305,174000
306,169000
307,164000
308,172000
309,167000
310,162000
311,157000
312,165000
313,173000
314,168000
315,163000
316,158000
317,166000
318,161000
319,169000
320,177000
321,172000
322,180000
323,175000
324,170000
325,178000
326,186000
327,181000
328,189000
329,184000
330,192000
331,200000
332,208000
333,216000
334,224000
335,219000
336,227000
337,222000
338,230000
339,238000
340,233000
341,228000
342,223000
343,218000
344,226000
345,221000
346,229000
347,224000
348,219000
349,214000
350,209000
351,217000
352,212000
353,207000
354,215000
355,210000
356,218000
357,226000
358,221000
359,216000
360,211000
361,206000
362,214000
363,222000
364,230000
