Day,Price
0,1.8
1,1.77
2,1.77
3,1.77
4,1.78
5,1.76
6,1.77
7,1.76
8,1.75
9,1.75
10,1.77
11,1.79
12,1.77
13,1.78
14,1.77
15,1.79
16,1.81
17,1.78
18,1.79
19,1.81
20,1.78
21,1.79
22,1.8
23,1.81
24,1.79
25,1.78
26,1.76
27,1.77
28,1.77
29,1.78
30,1.78
31,1.77
32,1.8
33,1.79
34,1.8
35,1.8
36,1.81
37,1.82
38,1.82
39,1.86
40,1.86
41,1.88
42,1.88
43,1.89
44,1.9
45,1.89
46,1.9
47,1.9
48,1.91
49,1.92
50,1.92
51,1.92
52,1.91
53,1.9
54,1.91
55,1.96
56,1.96
57,1.95
58,1.95
59,1.93
60,1.95
61,1.93
62,1.91
63,1.93
64,1.93
65,1.96
66,1.98
67,1.96
68,1.97
69,1.99
70,2.0
71,1.98
72,1.97
73,1.96
74,1.98
75,1.98
76,1.98
77,1.98
78,1.96
79,1.98
80,1.97
81,1.94
82,1.93
83,1.94
84,1.96
85,1.96
86,1.95
87,1.93
88,1.94
89,1.91
90,1.92
91,1.96
92,1.94
93,1.98
94,1.96
95,1.95
96,1.97
97,1.96
98,1.95
99,1.93
100,1.93
101,1.92
102,1.89
103,1.91
104,1.91
105,1.9
106,1.92
107,1.92
108,1.93
109,1.95
110,1.94
111,1.87
112,1.85
113,1.85
114,1.82
115,1.86
116,1.84
117,1.84
118,1.81
119,1.83
120,1.84
121,1.85
122,1.83
123,1.82
124,1.82
125,1.82
126,1.83
127,1.84
128,1.84
129,1.82
130,1.79
131,1.79
132,1.8
133,1.82
134,1.84
135,1.84
136,1.84
137,1.83
138,1.8
139,1.82
140,1.78
141,1.81
142,1.8
143,1.82
144,1.81
145,1.8
146,1.81
147,1.81
148,1.79
149,1.8
150,1.76
151,1.75
152,1.75
153,1.77
154,1.76
155,1.77
156,1.79
157,1.79
158,1.82
159,1.85
160,1.84
161,1.82
162,1.82
163,1.81
164,1.79
165,1.81
166,1.79
167,1.82
168,1.83
169,1.83
170,1.82
171,1.82
172,1.88
173,1.88
174,1.86
175,1.84
176,1.83
177,1.81
178,1.85
179,1.84
180,1.85
181,1.89
182,1.89
183,1.87
184,1.87
185,1.9
186,1.92
187,1.91
188,1.9
189,1.87
190,1.87
191,1.85
192,1.86
193,1.91
194,1.91
195,1.92
196,1.9
197,1.94
198,1.97
199,1.96
200,1.97
201,1.93
202,1.95
203,1.95
204,1.95
205,1.95
206,1.96
207,1.97
208,1.98
209,1.98
210,1.96
211,1.95
212,1.96
213,1.94
214,1.96
215,1.98
216,1.97
217,1.97
218,1.98
219,1.97
220,1.98
221,1.95
222,1.93
223,1.92
224,1.95
225,1.95
226,1.96
227,1.97
228,1.93
229,1.91
230,1.93
231,1.94
232,1.97
233,1.95
234,1.94
235,1.95
236,1.94
237,1.93
238,1.94
239,1.94
240,1.91
241,1.9
242,1.89
243,1.9
244,1.9
245,1.93
246,1.93
247,1.95
248,1.93
249,1.93
250,1.93
251,1.91
252,1.87
253,1.85
254,1.85
255,1.85
256,1.88
257,1.88
258,1.88
259,1.88
260,1.87
261,1.88
262,1.86
263,1.85
264,1.86
265,1.87
266,1.87
267,1.87
268,1.85
269,1.83
270,1.82
271,1.81
272,1.84
273,1.86
274,1.85
275,1.86
276,1.84
277,1.81
278,1.79
279,1.78
280,1.78
281,1.74
282,1.74
283,1.7
284,1.7
285,1.7
286,1.71
287,1.71
288,1.72
289,1.71
290,1.72
291,1.73
292,1.76
293,1.76
294,1.78
295,1.78
296,1.78
297,1.79
298,1.79
299,1.75
300,1.74
301,1.72
302,1.73
303,1.77
304,1.78
305,1.78
306,1.77
307,1.79
308,1.78
309,1.78
310,1.77
311,1.81
312,1.8
313,1.8
314,1.82
315,1.83
316,1.83
317,1.82
318,1.83
319,1.84
320,1.86
321,1.87
322,1.89
323,1.84
324,1.83
325,1.88
326,1.9
327,1.87
328,1.87
329,1.86
330,1.88
331,1.9
332,1.9
333,1.91
334,1.91
335,1.89
336,1.91
337,1.91
338,1.92
339,1.9
340,1.9
341,1.9
342,1.91
343,1.9
344,1.92
345,1.92
346,1.98
347,1.97
348,1.95
349,1.93
350,1.93
351,1.91
352,1.94
353,1.92
354,1.92
355,1.94
356,1.96
357,1.99
358,2.0
359,1.97
360,1.96
361,1.97
362,1.97
363,1.98
364,1.97
