Day,Price
0,35.22
1,35.22
2,35.17
3,35.04
4,35.13
5,35.13
6,35.33
7,35.31
8,35.41
9,35.42
10,35.31
11,35.23
12,35.28
13,35.25
14,35.25
15,35.28
16,35.39
17,35.44
18,35.59
19,35.53
20,35.58
21,35.4
22,35.42
23,35.55
24,35.71
25,36.0
26,35.96
27,36.07
28,36.16
29,36.3
30,36.36
31,36.4
32,36.68
33,36.74
34,36.87
35,37.08
36,37.14
37,37.28
38,37.33
39,37.48
40,37.56
41,37.76
42,37.87
43,37.82
44,37.94
45,37.84
46,37.61
47,37.67
48,37.58
49,37.44
50,37.41
51,37.59
52,37.47
53,37.55
54,37.34
55,37.33
56,37.29
57,37.11
58,37.0
59,36.89
60,36.93
61,36.91
62,36.79
63,36.68
64,36.61
65,36.69
66,36.68
67,36.77
68,36.81
69,36.96
70,36.99
71,37.1
72,37.19
73,37.1
74,37.14
75,37.19
76,37.21
77,37.12
78,37.25
79,37.19
80,37.24
81,37.43
82,37.39
83,37.45
84,37.45
85,37.52
86,37.69
87,37.68
88,37.58
89,37.65
90,37.65
91,37.54
92,37.57
93,37.57
94,37.62
95,37.62
96,37.64
97,37.49
98,37.32
99,37.35
100,37.21
101,37.16
102,37.23
103,37.12
104,37.12
105,37.07
106,37.16
107,37.25
108,37.14
109,37.15
110,37.19
111,37.12
112,37.11
113,37.17
114,37.14
115,36.93
116,36.87
117,36.88
118,36.82
119,36.67
120,36.55
121,36.5
122,36.51
123,36.47
124,36.49
125,36.47
126,36.46
127,36.48
128,36.4
129,36.46
130,36.37
131,36.38
132,36.38
133,36.41
134,36.48
135,36.29
136,36.15
137,36.05
138,36.06
139,36.03
140,36.04
141,35.97
142,35.89
143,35.97
144,36.05
145,36.08
146,36.04
147,36.12
148,36.18
149,36.08
150,36.0
151,36.12
152,36.2
153,36.24
154,36.32
155,36.28
156,36.5
157,36.4
158,36.53
159,36.69
160,36.75
161,36.5
162,36.55
163,36.53
164,36.6
165,36.64
166,36.64
167,36.84
168,36.85
169,36.85
170,36.82
171,36.88
172,37.22
173,37.38
174,37.37
175,37.4
176,37.38
177,37.5
178,37.57
179,37.72
180,37.74
181,37.79
182,37.79
183,37.99
184,38.1
185,38.21
186,38.27
187,38.22
188,38.2
189,38.35
190,38.34
191,38.17
192,38.21
193,38.27
194,38.29
195,38.34
196,38.32
197,38.38
198,38.32
199,38.53
200,38.55
201,38.48
202,38.51
203,38.44
204,38.42
205,38.6
206,38.61
207,38.44
208,38.46
209,38.4
210,38.54
211,38.55
212,38.73
213,38.8
214,38.92
215,38.94
216,38.78
217,38.91
218,38.93
219,39.17
220,39.24
221,39.19
222,39.22
223,39.22
224,39.16
225,39.14
226,39.27
227,39.35
228,39.44
229,39.39
230,39.51
231,39.39
232,39.34
233,39.28
234,39.29
235,39.13
236,39.3
237,39.2
238,39.2
239,39.15
240,39.07
241,39.14
242,39.13
243,39.05
244,39.05
245,38.95
246,38.86
247,38.67
248,38.58
249,38.72
250,38.6
251,38.46
252,38.38
253,38.42
254,38.37
255,38.22
256,38.29
257,38.3
258,38.29
259,38.18
260,38.08
261,37.96
262,37.82
263,37.76
264,37.77
265,37.73
266,37.67
267,37.6
268,37.51
269,37.57
270,37.52
271,37.47
272,37.5
273,37.6
274,37.61
275,37.69
276,37.71
277,37.72
278,37.71
279,37.83
280,37.63
281,37.7
282,37.69
283,37.81
284,37.86
285,38.01
286,38.05
287,38.08
288,38.01
289,38.01
290,38.02
291,38.02
292,38.01
293,37.95
294,38.01
295,37.94
296,37.94
297,37.96
298,38.13
299,38.17
300,38.13
301,38.18
302,38.2
303,38.21
304,38.3
305,38.42
306,38.42
307,38.45
308,38.52
309,38.56
310,38.59
311,38.84
312,38.88
313,38.98
314,38.88
315,38.93
316,39.0
317,38.99
318,39.04
319,38.99
320,39.02
321,38.85
322,39.07
323,39.0
324,39.06
325,39.04
326,39.04
327,39.05
328,39.03
329,39.03
330,39.09
331,39.16
332,39.07
333,39.18
334,39.15
335,39.29
336,39.33
337,39.35
338,39.48
339,39.59
340,39.55
341,39.63
342,39.67
343,39.77
344,39.66
345,39.6
346,39.55
347,39.59
348,39.55
349,39.39
350,39.45
351,39.49
352,39.51
353,39.58
354,39.63
355,39.53
356,39.55
357,39.42
358,39.36
359,39.64
360,39.78
361,39.72
362,39.86
363,39.86
364,39.88
