Day,Price
0,4.72
1,4.71
2,4.71
3,4.74
4,4.8
5,4.88
6,4.88
7,4.86
8,4.91
9,4.88
10,4.88
11,4.9
12,4.94
13,4.95
14,4.98
15,5.01
16,5.05
17,5.07
18,5.02
19,5.02
20,5.01
21,5.0
22,5.06
23,5.11
24,5.2
25,5.18
26,5.19
27,5.17
28,5.21
29,5.22
30,5.25
31,5.32
32,5.37
33,5.39
34,5.44
35,5.47
36,5.48
37,5.45
38,5.47
39,5.48
40,5.55
41,5.55
42,5.56
43,5.56
44,5.52
45,5.43
46,5.43
47,5.43
48,5.39
49,5.34
50,5.33
51,5.27
52,5.26
53,5.17
54,5.18
55,5.1
56,5.08
57,5.08
58,5.04
59,5.06
60,5.03
61,4.98
62,4.93
63,4.94
64,4.97
65,4.96
66,4.96
67,5.0
68,5.0
69,4.97
70,4.98
71,5.0
72,4.99
73,4.99
74,4.99
75,5.03
76,5.05
77,5.09
78,5.09
79,5.04
80,5.05
81,5.07
82,5.09
83,5.07
84,5.1
85,5.18
86,5.21
87,5.18
88,5.16
89,5.19
90,5.18
91,5.24
92,5.26
93,5.23
94,5.24
95,5.24
96,5.21
97,5.14
98,5.18
99,5.14
100,5.14
101,5.14
102,5.15
103,5.15
104,5.14
105,5.16
106,5.21
107,5.21
108,5.25
109,5.25
110,5.3
111,5.37
112,5.39
113,5.37
114,5.34
115,5.37
116,5.34
117,5.37
118,5.36
119,5.37
120,5.37
121,5.34
122,5.33
123,5.34
124,5.34
125,5.35
126,5.37
127,5.32
128,5.32
129,5.28
130,5.24
131,5.25
132,5.26
133,5.3
134,5.25
135,5.24
136,5.22
137,5.25
138,5.27
139,5.22
140,5.17
141,5.15
142,5.13
143,5.12
144,5.09
145,5.12
146,5.14
147,5.18
148,5.15
149,5.1
150,5.12
151,5.12
152,5.11
153,5.12
154,5.11
155,5.14
156,5.14
157,5.19
158,5.23
159,5.23
160,5.16
161,5.18
162,5.18
163,5.15
164,5.18
165,5.14
166,5.16
167,5.12
168,5.11
169,5.1
170,5.15
171,5.25
172,5.29
173,5.27
174,5.29
175,5.28
176,5.32
177,5.3
178,5.33
179,5.32
180,5.37
181,5.4
182,5.45
183,5.53
184,5.54
185,5.52
186,5.53
187,5.54
188,5.55
189,5.53
190,5.51
191,5.52
192,5.51
193,5.51
194,5.52
195,5.5
196,5.49
197,5.5
198,5.54
199,5.5
200,5.47
201,5.49
202,5.44
203,5.46
204,5.43
205,5.46
206,5.41
207,5.39
208,5.35
209,5.37
210,5.38
211,5.4
212,5.41
213,5.41
214,5.43
215,5.36
216,5.39
217,5.39
218,5.46
219,5.48
220,5.42
221,5.42
222,5.39
223,5.42
224,5.41
225,5.44
226,5.45
227,5.46
228,5.45
229,5.5
230,5.48
231,5.51
232,5.5
233,5.47
234,5.48
235,5.59
236,5.59
237,5.59
238,5.57
239,5.6
240,5.62
241,5.6
242,5.63
243,5.67
244,5.68
245,5.7
246,5.7
247,5.68
248,5.74
249,5.71
250,5.68
251,5.69
252,5.74
253,5.72
254,5.7
255,5.71
256,5.69
257,5.75
258,5.69
259,5.66
260,5.65
261,5.61
262,5.59
263,5.56
264,5.56
265,5.57
266,5.57
267,5.56
268,5.58
269,5.59
270,5.56
271,5.63
272,5.66
273,5.69
274,5.68
275,5.66
276,5.69
277,5.71
278,5.83
279,5.81
280,5.85
281,5.86
282,5.9
283,5.93
284,5.99
285,6.03
286,6.03
287,6.03
288,6.02
289,6.02
290,6.05
291,6.05
292,6.03
293,6.04
294,6.0
295,5.99
296,6.0
297,6.04
298,6.05
299,6.03
300,6.01
301,5.99
302,5.99
303,5.99
304,6.03
305,6.01
306,6.04
307,6.07
308,6.05
309,6.06
310,6.14
311,6.15
312,6.13
313,6.11
314,6.07
315,6.09
316,6.07
317,6.05
318,6.05
319,6.07
320,6.02
321,6.04
322,5.99
323,6.0
324,5.98
325,5.95
326,5.95
327,5.93
328,5.9
329,5.86
330,5.87
331,5.84
332,5.82
333,5.8
334,5.85
335,5.87
336,5.88
337,5.96
338,5.96
339,5.97
340,5.99
341,6.02
342,6.05
343,6.07
344,6.11
345,6.05
346,6.1
347,6.11
348,6.08
349,6.09
350,6.09
351,6.07
352,6.1
353,6.17
354,6.18
355,6.13
356,6.06
357,5.99
358,6.08
359,6.09
360,6.03
361,6.08
362,6.1
363,6.13
364,6.17
