Day,Price
0,40.0
1,40.47
2,39.18
3,40.88
4,39.12
5,39.33
6,42.53
7,45.4
8,48.09
9,48.54
10,52.07
11,42.89
12,48.03
13,44.91
14,47.26
15,50.94
16,51.89
17,53.55
18,55.29
19,58.8
20,52.76
21,55.46
22,56.6
23,58.79
24,57.9
25,51.82
26,51.47
27,52.12
28,52.18
29,45.95
30,46.37
31,41.11
32,45.05
33,46.51
34,47.14
35,47.63
36,46.51
37,41.76
38,40.35
39,38.47
40,40.47
41,45.56
42,44.49
43,44.55
44,44.11
45,50.21
46,48.83
47,43.72
48,46.18
49,48.52
50,47.71
51,47.45
52,49.37
53,48.23
54,44.57
55,46.05
56,49.55
57,49.6
58,47.62
59,48.31
60,44.55
61,44.96
62,43.22
63,42.31
64,45.89
65,48.77
66,46.8
67,45.67
68,47.31
69,46.61
70,48.65
71,43.9
72,47.63
73,46.97
74,47.01
75,47.58
76,48.93
77,45.26
78,44.52
79,45.99
80,49.33
81,48.57
82,47.25
83,43.06
84,45.42
85,46.39
86,41.91
87,39.89
88,42.2
89,43.75
90,45.86
91,45.26
92,48.81
93,50.03
94,47.85
95,47.14
96,48.84
97,47.21
98,47.41
99,45.61
100,41.45
101,41.29
102,44.76
103,49.47
104,50.89
105,52.89
106,55.66
107,54.26
108,54.78
109,49.64
110,49.59
111,44.27
112,41.72
113,44.39
114,47.38
115,41.56
116,37.99
117,36.41
118,34.46
119,36.28
120,32.0
121,31.93
122,32.27
123,29.74
124,26.14
125,26.91
126,28.88
127,29.65
128,30.24
129,28.56
130,31.52
131,33.67
132,31.28
133,32.78
134,31.64
135,31.79
136,30.93
137,35.64
138,33.27
139,35.04
140,30.8
141,29.65
142,30.7
143,30.52
144,31.99
145,29.3
146,29.36
147,29.76
148,30.54
149,31.83
150,38.6
151,40.59
152,42.43
153,44.46
154,46.27
155,49.38
156,48.48
157,51.56
158,47.68
159,51.74
160,55.21
161,56.15
162,56.73
163,61.62
164,68.99
165,70.14
166,67.72
167,68.4
168,66.45
169,64.51
170,63.91
171,61.11
172,62.03
173,60.9
174,59.11
175,59.71
176,55.83
177,56.81
178,56.57
179,48.6
180,49.2
181,48.74
182,46.18
183,46.34
184,45.85
185,45.98
186,48.47
187,48.24
188,48.11
189,48.98
190,49.72
191,52.99
192,52.44
193,50.66
194,53.28
195,56.78
196,60.41
197,62.16
198,67.37
199,65.89
200,68.95
201,67.42
202,64.86
203,64.89
204,66.38
205,69.42
206,70.44
207,71.97
208,70.53
209,72.09
210,75.78
211,75.58
212,76.22
213,75.89
214,76.38
215,82.49
216,79.12
217,82.41
218,85.21
219,83.15
220,86.23
221,84.97
222,87.54
223,86.49
224,89.04
225,87.38
226,91.03
227,93.76
228,94.78
229,93.68
230,89.93
231,89.02
232,89.05
233,81.77
234,82.37
235,82.53
236,79.95
237,79.74
238,80.02
239,79.11
240,72.92
241,70.27
242,68.78
243,63.99
244,65.22
245,60.42
246,63.25
247,54.98
248,55.38
249,57.93
250,53.63
251,54.16
252,45.99
253,48.57
254,49.83
255,49.75
256,45.83
257,50.62
258,50.24
259,48.27
260,48.54
261,48.29
262,43.65
263,42.9
264,46.26
265,43.62
266,41.34
267,42.34
268,38.71
269,40.74
270,45.62
271,50.08
272,51.51
273,47.41
274,47.38
275,50.45
276,47.82
277,47.91
278,48.73
279,49.79
280,49.59
281,50.52
282,53.53
283,51.58
284,54.39
285,56.21
286,57.07
287,54.55
288,54.72
289,61.61
290,65.86
291,69.57
292,72.32
293,71.12
294,69.31
295,71.55
296,68.8
297,66.49
298,67.4
299,66.37
300,67.94
301,65.58
302,64.7
303,65.05
304,65.27
305,65.1
306,64.83
307,65.43
308,62.86
309,59.81
310,59.75
311,63.24
312,61.15
313,58.28
314,59.49
315,58.06
316,56.05
317,58.62
318,62.53
319,59.73
320,63.71
321,64.85
322,61.4
323,60.74
324,66.35
325,68.6
326,67.83
327,70.0
328,68.7
329,68.69
330,69.9
331,67.87
332,64.91
333,64.29
334,66.2
335,67.04
336,70.54
337,69.51
338,68.21
339,73.48
340,72.9
341,73.95
342,69.19
343,76.69
344,77.42
345,78.35
346,74.74
347,73.51
348,73.82
349,72.17
350,76.21
351,77.52
352,79.51
353,82.84
354,86.94
355,84.6
356,86.3
357,89.94
358,91.2
359,87.9
360,84.2
361,88.21
362,86.84
363,86.53
364,87.67
