Day,Price
0,100.0
1,99.99
2,100.05
3,99.34
4,99.68
5,100.13
6,100.1
7,100.85
8,100.0
9,100.45
10,99.92
11,99.91
12,100.02
13,100.12
14,100.04
15,100.1
16,99.85
17,98.97
18,100.04
19,99.79
20,99.89
21,100.19
22,99.8
23,99.91
24,100.19
25,99.75
26,99.96
27,100.47
28,99.49
29,99.91
30,99.59
31,100.06
32,98.99
33,99.76
34,99.84
35,99.35
36,98.96
37,99.05
38,99.84
39,99.83
40,99.72
41,99.76
42,99.97
43,100.81
44,99.76
45,99.61
46,100.75
47,99.54
48,99.79
49,100.16
50,99.7
51,99.69
52,99.84
53,99.49
54,99.65
55,99.85
56,100.1
57,99.98
58,100.05
59,99.85
60,100.2
61,100.24
62,99.85
63,98.36
64,100.1
65,99.95
66,99.88
67,99.98
68,99.87
69,99.38
70,100.86
71,99.85
72,98.96
73,100.44
74,99.59
75,99.94
76,99.88
77,99.9
78,99.99
79,100.65
80,98.93
81,99.81
82,99.63
83,99.9
84,99.72
85,101.08
86,99.88
87,99.76
88,100.06
89,99.2
90,99.9
91,100.92
92,99.49
93,99.09
94,99.91
95,99.94
96,99.69
97,100.0
98,99.67
99,100.06
100,101.04
101,99.76
102,99.86
103,99.87
104,99.66
105,98.79
106,99.87
107,99.86
108,100.16
109,99.69
110,99.97
111,99.67
112,99.0
113,99.87
114,99.73
115,99.82
116,100.74
117,99.67
118,99.9
119,99.71
120,100.05
121,99.82
122,99.67
123,99.95
124,101.1
125,99.6
126,99.69
127,98.78
128,99.89
129,99.82
130,99.72
131,99.57
132,99.88
133,99.73
134,99.89
135,99.92
136,99.8
137,100.64
138,99.69
139,99.89
140,99.74
141,100.57
142,99.49
143,99.58
144,99.64
145,100.71
146,99.56
147,99.82
148,99.13
149,100.93
150,99.6
151,99.77
152,99.22
153,99.4
154,99.84
155,100.02
156,99.78
157,99.66
158,99.86
159,99.87
160,100.8
161,100.78
162,99.89
163,100.03
164,99.07
165,99.74
166,99.76
167,99.9
168,99.63
169,99.83
170,99.66
171,99.9
172,99.98
173,99.77
174,99.76
175,99.9
176,99.96
177,99.97
178,99.74
179,100.63
180,99.91
181,100.02
182,100.15
183,99.9
184,99.85
185,99.77
186,100.11
187,100.59
188,99.88
189,100.05
190,100.28
191,99.73
192,99.8
193,99.86
194,100.16
195,99.95
196,99.95
197,99.76
198,99.65
199,100.5
200,99.19
201,100.06
202,98.71
203,99.8
204,99.96
205,100.86
206,99.96
207,99.23
208,99.3
209,100.2
210,99.55
211,100.01
212,100.19
213,100.08
214,99.67
215,100.18
216,99.98
217,100.12
218,100.04
219,100.05
220,100.15
221,101.14
222,100.97
223,99.98
224,99.96
225,100.0
226,100.18
227,99.96
228,100.36
229,100.09
230,100.18
231,100.02
232,99.92
233,100.39
234,100.74
235,99.74
236,100.18
237,101.17
238,101.01
239,100.19
240,100.06
241,100.21
242,100.16
243,98.72
244,100.32
245,100.06
246,100.23
247,100.0
248,99.13
249,99.92
250,101.09
251,100.04
252,99.94
253,100.02
254,99.94
255,99.88
256,100.1
257,99.87
258,99.38
259,100.02
260,99.82
261,99.97
262,100.11
263,100.83
264,100.2
265,99.73
266,100.04
267,100.04
268,100.05
269,100.17
270,99.86
271,98.65
272,100.18
273,100.1
274,100.13
275,100.03
276,99.99
277,100.74
278,99.86
279,100.13
280,100.07
281,100.01
282,100.34
283,99.98
284,100.1
285,100.08
286,99.28
287,99.87
288,100.03
289,100.09
290,99.94
291,101.08
292,100.22
293,101.09
294,100.04
295,100.2
296,98.87
297,100.16
298,100.2
299,99.3
300,100.0
301,99.97
302,100.23
303,100.1
304,100.2
305,100.15
306,100.34
307,100.16
308,100.34
309,100.28
310,100.2
311,100.1
312,100.22
313,99.67
314,100.08
315,100.04
316,99.99
317,99.98
318,99.97
319,100.0
320,99.97
321,100.38
322,99.76
323,99.93
324,100.13
325,100.0
326,99.95
327,100.06
328,100.57
329,99.85
330,99.83
331,100.4
332,99.77
333,100.59
334,100.02
335,100.2
336,99.99
337,100.05
338,100.21
339,100.21
340,99.2
341,99.97
342,100.04
343,99.99
344,99.75
345,100.27
346,99.7
347,99.25
348,100.67
349,99.87
350,99.89
351,100.12
352,99.85
353,99.29
354,100.28
355,99.89
356,100.15
357,99.85
358,99.21
359,100.07
360,99.24
361,99.18
362,99.71
363,99.86
364,99.88
